boost_id,name,category,rank,class_label,effect_type,priority,duration_seconds,cooldown_seconds,toxicity_penalty,instant_healing,excluded_from_builds,exclude_reason,bullet_resistance,vitality,movement_speed,sprint_speed,stamina,stamina_regeneration,health_regeneration,periodic_healing,healing_effectiveness,carry_weight,bleeding_output,bleeding_resistance,burn_reaction,tear_reaction,tear_protection,explosion_protection,electricity_protection,fire_protection,chemical_protection,radiation_resistance,psycho_resistance,temperature_resistance,biological_resistance,frost_resistance,bleeding_damage_resistance,radiation_protection,thermal_protection,biological_protection,psycho_protection,frost_protection,stability,radiation,psycho,temperature,biological,frost,toxicity,combustion,chemical_burn_reaction,electroshock_reaction,recoil,wiggle,satiety,effective_durability,total_sprint_speed,hp_regen_score,source_path
y391o,Колбасная нарезка,supply/food,Новичок,Еда,Усиление,4.0,1800.0,3.0,,,False,,,2.2,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10220.0,100.0,0.45999999999999996,stalzone-database/ru/items/supply/food/y391o.json
rwol5,Консервированная фасоль,supply/food,Новичок,Еда,Усиление,4.0,1800.0,3.0,,,False,,,,,,15.6,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/rwol5.json
6w3wy,Консервы «Псиный визг»,supply/food,Новичок,Еда,Усиление,3.0,1800.0,3.0,,,False,,,,,,12.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/6w3wy.json
dm1ln,Красная икра,supply/food,Новичок,Еда,Усиление,3.0,1800.0,3.0,,,False,,,2.0,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10200.0,100.0,0.0,stalzone-database/ru/items/supply/food/dm1ln.json
okdno,Кукуруза «Сладкий декабрь»,supply/food,Ветеран,Еда,Усиление,8.0,1800.0,3.0,,,False,,,2.9,,,14.5,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10290.0,100.0,0.6,stalzone-database/ru/items/supply/food/okdno.json
96gqz,Кусок белого хлеба,supply/food,Отмычка,Еда,Усиление,2.0,1800.0,3.0,,,False,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/96gqz.json
1rn01,Кусок черного хлеба,supply/food,Отмычка,Еда,Усиление,2.0,1800.0,3.0,,,False,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/1rn01.json
rwoj5,Лимон,supply/food,Легенда,Еда,Усиление,,1.0,8.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/rwoj5.json
dm165,Макароны по-флотски,supply/food,Ветеран,Еда,Усиление,7.0,1800.0,3.0,,,False,,,2.7,,,13.6,,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10270.0,100.0,0.0,stalzone-database/ru/items/supply/food/dm165.json
g45rp,Мандарин,supply/food,Отмычка,Еда,Усиление,2.0,1800.0,3.0,,,False,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10180.0,100.0,0.0,stalzone-database/ru/items/supply/food/g45rp.json
okrq0,Мясные консервы,supply/food,Новичок,Еда,Усиление,4.0,1800.0,3.0,,,False,,,,,,13.2,,,,,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/okrq0.json
4qdqn,Отечественный ИРП,supply/food,Мастер,Еда,Усиление,9.0,1800.0,3.0,,,False,,,3.1,,,15.4,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10310.0,100.0,0.64,stalzone-database/ru/items/supply/food/4qdqn.json
j5456,Отличная тушенка,supply/food,Сталкер,Еда,Усиление,5.0,1800.0,3.0,,,False,,,2.0,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10200.0,100.0,0.0,stalzone-database/ru/items/supply/food/j5456.json
3gvgg,Паштет «Собачья радость»,supply/food,Сталкер,Еда,Усиление,6.0,1800.0,3.0,,,False,,,,,,18.1,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/3gvgg.json
dmk65,Праздничный пунш,supply/drink,Сталкер,Напитки,Усиление,6.0,1800.0,15.0,,,False,,,,1.5,1.5,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,103.0,0.0,stalzone-database/ru/items/supply/drink/dmk65.json
z7y2,Протертые овощи,supply/food,Отмычка,Еда,Усиление,1.0,1800.0,3.0,,,False,,,,,,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/z7y2.json
n4lg6,Пшенка с мясом,supply/food,Ветеран,Еда,Усиление,7.0,1800.0,3.0,,,False,,,,,,16.5,4.3,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/n4lg6.json
9mn0,Рыбное филе,supply/food,Отмычка,Еда,Усиление,1.0,1800.0,3.0,,,False,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/9mn0.json
0row1,Рыбные консервы,supply/food,Новичок,Еда,Усиление,4.0,1800.0,3.0,,,False,,,,,,,2.9,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/0row1.json
96g6z,Салат «Осьминожья свежесть»,supply/food,Новичок,Еда,Усиление,3.0,1800.0,3.0,,,False,,,,,,,2.7,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.48,stalzone-database/ru/items/supply/food/96g6z.json
p60k2,Салат крабовый,supply/food,Новичок,Еда,Усиление,4.0,1800.0,3.0,,,False,,,2.2,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10220.0,100.0,0.0,stalzone-database/ru/items/supply/food/p60k2.json
vjdqd,Салат оливье,supply/food,Ветеран,Еда,Усиление,8.0,1800.0,3.0,,,False,,,2.9,,,17.6,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10290.0,100.0,0.0,stalzone-database/ru/items/supply/food/vjdqd.json
vjy5n,Советское шампанское,supply/drink,Ветеран,Напитки,Усиление,8.0,1800.0,3.0,20.0,,False,,,,1.2,1.2,,,3.5,,,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,10000.0,102.4,0.7,stalzone-database/ru/items/supply/drink/vjy5n.json
y75z,Сок,supply/drink,Отмычка,Напитки,Усиление,1.0,1800.0,3.0,,,False,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.4,stalzone-database/ru/items/supply/drink/y75z.json
g0y0,Соленья,supply/food,Отмычка,Еда,Усиление,1.0,1800.0,3.0,,,False,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10160.0,100.0,0.0,stalzone-database/ru/items/supply/food/g0y0.json
5l23g,Солянка,supply/food,Мастер,Еда,Усиление,10.0,1800.0,3.0,,,False,,,2.3,,,,2.8,3.4,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10230.0,100.0,0.6799999999999999,stalzone-database/ru/items/supply/food/5l23g.json
vrwg,Сусло,supply/food,Новичок,Еда,Усиление,3.0,1800.0,3.0,,,False,,,1.7,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10170.0,100.0,0.0,stalzone-database/ru/items/supply/food/vrwg.json
g07g,Тиражный ликер,supply/drink,Новичок,Напитки,Усиление,3.0,1800.0,3.0,,,False,,,,,,14.3,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/drink/g07g.json
4qd3p,Уха из сома «Дворянская»,supply/food,Мастер,Еда,Усиление,10.0,1800.0,3.0,,,False,,,3.3,,,,4.3,2.8,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10330.0,100.0,0.5599999999999999,stalzone-database/ru/items/supply/food/4qd3p.json
7rvr,Фарш из кабана,supply/food,Новичок,Еда,Усиление,3.0,1800.0,3.0,,,False,,,,,,,,2.4,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.48,stalzone-database/ru/items/supply/food/7rvr.json
2dkm,Фарш из собаки,supply/food,Новичок,Еда,Усиление,3.0,1800.0,3.0,,,False,,,,,,14.3,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/2dkm.json
3rjk,Фарш из хрюши,supply/food,Новичок,Еда,Усиление,3.0,1800.0,3.0,,,False,,,2.0,,,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10200.0,100.0,0.0,stalzone-database/ru/items/supply/food/3rjk.json
zz1o2,Фасолевый суп,supply/food,Ветеран,Еда,Усиление,7.0,1800.0,3.0,,,False,,,,,,13.6,,2.8,,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.5599999999999999,stalzone-database/ru/items/supply/food/zz1o2.json
lyn5j,Фасоль «Рождественская»,supply/food,Сталкер,Еда,Усиление,6.0,1800.0,3.0,,,False,,,2.2,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10220.0,100.0,0.62,stalzone-database/ru/items/supply/food/lyn5j.json
7l9l7,Холодец «Копытом по лицу»,supply/food,Ветеран,Еда,Усиление,7.0,1800.0,3.0,,,False,,,,,,,3.6,3.3,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.6599999999999999,stalzone-database/ru/items/supply/food/7l9l7.json
1r246,Хорог,supply/food,Мастер,Еда,Усиление,9.0,1800.0,3.0,,,False,,,3.1,,,18.7,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10310.0,100.0,0.0,stalzone-database/ru/items/supply/food/1r246.json
wj2zp,Чесночный суп,supply/food,Мастер,Еда,Усиление,10.0,1800.0,3.0,,,False,,,2.8,,,12.8,,4.0,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10280.0,100.0,0.8,stalzone-database/ru/items/supply/food/wj2zp.json
m0jw7,Шпроты,supply/food,Сталкер,Еда,Усиление,5.0,1800.0,3.0,,,False,,,,,,,3.7,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.48,stalzone-database/ru/items/supply/food/m0jw7.json
knop0,Яблочный сидр,supply/drink,Сталкер,Напитки,Усиление,5.0,1800.0,15.0,20.0,,False,,,,1.4,1.4,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,102.80000000000001,0.0,stalzone-database/ru/items/supply/drink/knop0.json
